dataset,tool,klass,truth,kept,retained_pct,raw_truth,raw_kept,raw_cov_pct,note
D_example_wb.full,udud,host,448,443,98.884,448,443,98.884,LOSS
D_example_wb.full,udud,js,57809,57375,99.249,57914,57375,99.069,LOSS
D_example_wb.full,udud,html,1342,1340,99.851,1350,1164,86.222,LOSS
D_example_wb.full,udud,srcdisc,28,28,100.0,28,28,100.0,
D_example_wb.full,udud,matrix,23,16,69.565,77202,51146,66.25,LOSS
D_example_wb.full,udud,param_ri,30,14,46.667,30,9,30.0,LOSS
D_example_wb.full,uro,host,448,448,100.0,448,448,100.0,
D_example_wb.full,uro,js,57809,6600,11.417,57914,6600,11.396,LOSS
D_example_wb.full,uro,html,1342,1289,96.051,1350,1297,96.074,LOSS
D_example_wb.full,uro,srcdisc,28,28,100.0,28,28,100.0,
D_example_wb.full,uro,matrix,23,0,0.0,77202,0,0.0,LOSS
D_example_wb.full,uro,param_ri,30,21,70.0,30,21,70.0,LOSS
D_example_wb.full,urldedupe,host,448,448,100.0,448,448,100.0,
D_example_wb.full,urldedupe,js,57809,57809,100.0,57914,57914,100.0,
D_example_wb.full,urldedupe,html,1342,1342,100.0,1350,1350,100.0,
D_example_wb.full,urldedupe,srcdisc,28,28,100.0,28,28,100.0,
D_example_wb.full,urldedupe,matrix,23,23,100.0,77202,77202,100.0,
D_example_wb.full,urldedupe,param_ri,30,30,100.0,30,30,100.0,
D_example_wb.full,urless,host,448,448,100.0,448,448,100.0,
D_example_wb.full,urless,js,57809,6644,11.493,57914,6642,11.469,LOSS
D_example_wb.full,urless,html,1342,1289,96.051,1350,1297,96.074,LOSS
D_example_wb.full,urless,srcdisc,28,28,100.0,28,28,100.0,
D_example_wb.full,urless,matrix,23,0,0.0,77202,0,0.0,LOSS
D_example_wb.full,urless,param_ri,30,29,96.667,30,22,73.333,LOSS
D_example_wb.full,uddup,-,0,0,,0,0,,no output (DNF/missing)
D_vulnweb.full,udud,host,127,119,93.701,127,119,93.701,LOSS
D_vulnweb.full,udud,js,49,48,97.959,49,48,97.959,LOSS
D_vulnweb.full,udud,html,31,27,87.097,34,25,73.529,LOSS
D_vulnweb.full,udud,srcdisc,14,14,100.0,17,14,82.353,
D_vulnweb.full,udud,matrix,0,0,,0,0,,
D_vulnweb.full,udud,param_ri,7,7,100.0,5,5,100.0,
D_vulnweb.full,uro,host,127,127,100.0,127,127,100.0,
D_vulnweb.full,uro,js,49,16,32.653,49,16,32.653,LOSS
D_vulnweb.full,uro,html,31,30,96.774,34,33,97.059,LOSS
D_vulnweb.full,uro,srcdisc,14,14,100.0,17,17,100.0,
D_vulnweb.full,uro,matrix,0,0,,0,0,,
D_vulnweb.full,uro,param_ri,7,7,100.0,5,5,100.0,
D_vulnweb.full,urldedupe,host,127,127,100.0,127,127,100.0,
D_vulnweb.full,urldedupe,js,49,49,100.0,49,49,100.0,
D_vulnweb.full,urldedupe,html,31,31,100.0,34,34,100.0,
D_vulnweb.full,urldedupe,srcdisc,14,14,100.0,17,17,100.0,
D_vulnweb.full,urldedupe,matrix,0,0,,0,0,,
D_vulnweb.full,urldedupe,param_ri,7,7,100.0,5,5,100.0,
D_vulnweb.full,urless,host,127,127,100.0,127,127,100.0,
D_vulnweb.full,urless,js,49,49,100.0,49,49,100.0,
D_vulnweb.full,urless,html,31,31,100.0,34,34,100.0,
D_vulnweb.full,urless,srcdisc,14,14,100.0,17,17,100.0,
D_vulnweb.full,urless,matrix,0,0,,0,0,,
D_vulnweb.full,urless,param_ri,7,7,100.0,5,5,100.0,
D_vulnweb.full,uddup,host,127,67,52.756,127,67,52.756,LOSS
D_vulnweb.full,uddup,js,49,0,0.0,49,0,0.0,LOSS
D_vulnweb.full,uddup,html,31,31,100.0,34,34,100.0,
D_vulnweb.full,uddup,srcdisc,14,5,35.714,17,5,29.412,LOSS
D_vulnweb.full,uddup,matrix,0,0,,0,0,,
D_vulnweb.full,uddup,param_ri,7,7,100.0,5,5,100.0,
D_example_gau.full,udud,host,125,125,100.0,125,125,100.0,
D_example_gau.full,udud,js,56,56,100.0,56,56,100.0,
D_example_gau.full,udud,html,447,447,100.0,449,391,87.082,
D_example_gau.full,udud,srcdisc,0,0,,0,0,,
D_example_gau.full,udud,matrix,2,2,100.0,27,27,100.0,
D_example_gau.full,udud,param_ri,0,0,,0,0,,
D_example_gau.full,uro,host,125,125,100.0,125,125,100.0,
D_example_gau.full,uro,js,56,55,98.214,56,55,98.214,LOSS
D_example_gau.full,uro,html,447,447,100.0,449,449,100.0,
D_example_gau.full,uro,srcdisc,0,0,,0,0,,
D_example_gau.full,uro,matrix,2,0,0.0,27,0,0.0,LOSS
D_example_gau.full,uro,param_ri,0,0,,0,0,,
D_example_gau.full,urldedupe,host,125,125,100.0,125,125,100.0,
D_example_gau.full,urldedupe,js,56,56,100.0,56,56,100.0,
D_example_gau.full,urldedupe,html,447,447,100.0,449,449,100.0,
D_example_gau.full,urldedupe,srcdisc,0,0,,0,0,,
D_example_gau.full,urldedupe,matrix,2,2,100.0,27,27,100.0,
D_example_gau.full,urldedupe,param_ri,0,0,,0,0,,
D_example_gau.full,urless,host,125,125,100.0,125,125,100.0,
D_example_gau.full,urless,js,56,55,98.214,56,55,98.214,LOSS
D_example_gau.full,urless,html,447,447,100.0,449,449,100.0,
D_example_gau.full,urless,srcdisc,0,0,,0,0,,
D_example_gau.full,urless,matrix,2,0,0.0,27,0,0.0,LOSS
D_example_gau.full,urless,param_ri,0,0,,0,0,,
D_example_gau.full,uddup,host,125,119,95.2,125,119,95.2,LOSS
D_example_gau.full,uddup,js,56,0,0.0,56,0,0.0,LOSS
D_example_gau.full,uddup,html,447,447,100.0,449,449,100.0,
D_example_gau.full,uddup,srcdisc,0,0,,0,0,,
D_example_gau.full,uddup,matrix,2,2,100.0,27,8,29.63,
D_example_gau.full,uddup,param_ri,0,0,,0,0,,
