dataset,tool,klass,tp,fn,fp,precision,recall,f1
D_example_wb.full,udud,host,443,5,125258,0.0035,0.9888,0.007
D_example_wb.full,udud,js,57375,434,17,0.9997,0.9925,0.9961
D_example_wb.full,udud,html,1165,177,728,0.6154,0.8681,0.7202
D_example_wb.full,udud,srcdisc,28,0,0,1.0,1.0,1.0
D_example_wb.full,udud,matrix,16,7,51130,0.0003,0.6957,0.0006
D_example_wb.full,udud,param_ri,14,16,2,0.875,0.4667,0.6087
D_example_wb.full,uro,host,448,0,77626,0.0057,1.0,0.0114
D_example_wb.full,uro,js,6600,51209,9,0.9986,0.1142,0.2049
D_example_wb.full,uro,html,1289,53,210,0.8599,0.9605,0.9074
D_example_wb.full,uro,srcdisc,28,0,0,1.0,1.0,1.0
D_example_wb.full,uro,matrix,0,23,0,0.0,0.0,0.0
D_example_wb.full,uro,param_ri,21,9,5,0.8077,0.7,0.75
D_example_wb.full,urldedupe,host,448,0,292035,0.0015,1.0,0.0031
D_example_wb.full,urldedupe,js,57809,0,136,0.9977,1.0,0.9988
D_example_wb.full,urldedupe,html,1342,0,1063,0.558,1.0,0.7163
D_example_wb.full,urldedupe,srcdisc,28,0,0,1.0,1.0,1.0
D_example_wb.full,urldedupe,matrix,23,0,77183,0.0003,1.0,0.0006
D_example_wb.full,urldedupe,param_ri,30,0,14,0.6818,1.0,0.8108
D_example_wb.full,urless,host,448,0,73695,0.006,1.0,0.012
D_example_wb.full,urless,js,6644,51165,24,0.9964,0.1149,0.2061
D_example_wb.full,urless,html,1289,53,549,0.7013,0.9605,0.8107
D_example_wb.full,urless,srcdisc,28,0,0,1.0,1.0,1.0
D_example_wb.full,urless,matrix,0,23,0,0.0,0.0,0.0
D_example_wb.full,urless,param_ri,29,1,5,0.8529,0.9667,0.9062
D_vulnweb.full,udud,host,119,8,1282,0.0849,0.937,0.1558
D_vulnweb.full,udud,js,48,1,0,1.0,0.9796,0.9897
D_vulnweb.full,udud,html,25,6,4,0.8621,0.8065,0.8333
D_vulnweb.full,udud,srcdisc,14,0,0,1.0,1.0,1.0
D_vulnweb.full,udud,matrix,0,0,0,0.0,0.0,0.0
D_vulnweb.full,udud,param_ri,7,0,1,0.875,1.0,0.9333
D_vulnweb.full,uro,host,127,0,1871,0.0636,1.0,0.1195
D_vulnweb.full,uro,js,16,33,0,1.0,0.3265,0.4923
D_vulnweb.full,uro,html,30,1,7,0.8108,0.9677,0.8824
D_vulnweb.full,uro,srcdisc,14,0,5,0.7368,1.0,0.8485
D_vulnweb.full,uro,matrix,0,0,0,0.0,0.0,0.0
D_vulnweb.full,uro,param_ri,7,0,0,1.0,1.0,1.0
D_vulnweb.full,urldedupe,host,127,0,3535,0.0347,1.0,0.067
D_vulnweb.full,urldedupe,js,49,0,50,0.4949,1.0,0.6622
D_vulnweb.full,urldedupe,html,31,0,175,0.1505,1.0,0.2616
D_vulnweb.full,urldedupe,srcdisc,14,0,5,0.7368,1.0,0.8485
D_vulnweb.full,urldedupe,matrix,0,0,0,0.0,0.0,0.0
D_vulnweb.full,urldedupe,param_ri,7,0,0,1.0,1.0,1.0
D_vulnweb.full,urless,host,127,0,2924,0.0416,1.0,0.0799
D_vulnweb.full,urless,js,49,0,49,0.5,1.0,0.6667
D_vulnweb.full,urless,html,31,0,172,0.1527,1.0,0.265
D_vulnweb.full,urless,srcdisc,14,0,3,0.8235,1.0,0.9032
D_vulnweb.full,urless,matrix,0,0,0,0.0,0.0,0.0
D_vulnweb.full,urless,param_ri,7,0,0,1.0,1.0,1.0
D_vulnweb.full,uddup,host,67,60,12776,0.0052,0.5276,0.0103
D_vulnweb.full,uddup,js,0,49,0,0.0,0.0,0.0
D_vulnweb.full,uddup,html,31,0,176,0.1498,1.0,0.2605
D_vulnweb.full,uddup,srcdisc,5,9,1,0.8333,0.3571,0.5
D_vulnweb.full,uddup,matrix,0,0,0,0.0,0.0,0.0
D_vulnweb.full,uddup,param_ri,7,0,50,0.1228,1.0,0.2188
D_example_gau.full,udud,host,125,0,5132,0.0238,1.0,0.0465
D_example_gau.full,udud,js,56,0,0,1.0,1.0,1.0
D_example_gau.full,udud,html,391,56,0,1.0,0.8747,0.9332
D_example_gau.full,udud,srcdisc,0,0,0,0.0,0.0,0.0
D_example_gau.full,udud,matrix,2,0,25,0.0741,1.0,0.1379
D_example_gau.full,udud,param_ri,0,0,0,0.0,0.0,0.0
D_example_gau.full,uro,host,125,0,3746,0.0323,1.0,0.0626
D_example_gau.full,uro,js,55,1,0,1.0,0.9821,0.991
D_example_gau.full,uro,html,447,0,2,0.9955,1.0,0.9978
D_example_gau.full,uro,srcdisc,0,0,0,0.0,0.0,0.0
D_example_gau.full,uro,matrix,0,2,0,0.0,0.0,0.0
D_example_gau.full,uro,param_ri,0,0,0,0.0,0.0,0.0
D_example_gau.full,urldedupe,host,125,0,41343,0.003,1.0,0.006
D_example_gau.full,urldedupe,js,56,0,0,1.0,1.0,1.0
D_example_gau.full,urldedupe,html,447,0,2,0.9955,1.0,0.9978
D_example_gau.full,urldedupe,srcdisc,0,0,0,0.0,0.0,0.0
D_example_gau.full,urldedupe,matrix,2,0,25,0.0741,1.0,0.1379
D_example_gau.full,urldedupe,param_ri,0,0,0,0.0,0.0,0.0
D_example_gau.full,urless,host,125,0,4922,0.0248,1.0,0.0483
D_example_gau.full,urless,js,55,1,0,1.0,0.9821,0.991
D_example_gau.full,urless,html,447,0,2,0.9955,1.0,0.9978
D_example_gau.full,urless,srcdisc,0,0,0,0.0,0.0,0.0
D_example_gau.full,urless,matrix,0,2,0,0.0,0.0,0.0
D_example_gau.full,urless,param_ri,0,0,0,0.0,0.0,0.0
D_example_gau.full,uddup,host,119,6,12727,0.0093,0.952,0.0183
D_example_gau.full,uddup,js,0,56,0,0.0,0.0,0.0
D_example_gau.full,uddup,html,447,0,2,0.9955,1.0,0.9978
D_example_gau.full,uddup,srcdisc,0,0,0,0.0,0.0,0.0
D_example_gau.full,uddup,matrix,2,0,6,0.25,1.0,0.4
D_example_gau.full,uddup,param_ri,0,0,0,0.0,0.0,0.0
